Name,ID,Gene,Value
PC 70,A,CASP8,17.5293356
PC 70,A,CCND1,18.32387213
PC 70,A,CD274,21.55686803
PC 70,A,CD34,17.01878289
PC 70,A,CD44,15.63320976
PC 70,A,CDH1,16.0689492
PC 70,A,CDH5,17.50768378
PC 70,A,CDKN1A,16.69265724
PC 70,A,CDKN3,17.34295555
PC 70,A,CEACAM6,14.92129729
PC 70,A,DNMT1,17.46064717
PC 70,A,EGFR,18.86718735
PC 70,A,ERCC1,18.121526
PC 70,A,FAP,21.21824135
PC 70,A,FGF13,21.70648683
PC 70,A,FGF2,21.91779174
PC 70,A,FGFR2,18.04676367
PC 70,A,HMOX2,16.46693067
PC 70,A,IGF1R,20.6566991
PC 70,A,IL17A,20.16957372
PC 70,A,IL18,16.57494931
PC 70,A,IL6,23.22986539
PC 70,A,KAT6A,16.24129047
PC 70,A,KRAS,15.97140091
PC 70,A,LEF1,20.27894363
PC 70,A,MCM2,17.39442135
PC 70,A,MDM2,17.1269005
PC 70,A,MLH1,18.09772395
PC 70,A,MMP1,15.70752797
PC 70,A,MUC1,12.64800092
PC 70,A,MYC,17.28438355
PC 70,A,NFE2L2,14.90397796
PC 70,A,NFE2L3,17.57319523
PC 70,A,OCLN,15.59629571
PC 70,A,PARP1,16.56969927
PC 70,A,PCNA,16.43798734
PC 70,A,PECAM1,15.42040579
PC 70,A,E,16.1436678
PC 70,A,D,19.80542082
PC 70,A,C,12.5625848
PC 70,A,B,10.59194036
PC 70,A,A,12.82524834
PC 70,A,PI3,13.06897365
PC 70,A,S100P,11.81963662
PC 70,A,RB1,17.71376138
PC 70,A,PTEN,14.58856694
PC 70,A,G,16.27487855
PC 70,A,F,11.03978478
PC 70,A,STAT5A,18.68090278
PC 70,A,STAT3,16.32178755
PC 70,A,STAT1,15.37250337
PC 70,A,SNAI1,18.70102665
PC 70,A,SMYD2,18.18687653
PC 70,A,WNT5A,20.22294776
PC 70,A,VEGFA,17.41158172
PC 70,A,TWIST1,23.50622696
PC 70,A,TP63,20.34877317
PC 70,A,TOP1,16.38391229
PC 70,A,TGFB1,17.76082984
PC 70,A,FASLG,19.38101843
PC 70,A,FAS,17.79612602
